Date,Open,High,Low,Close,Volume
2017-06-08,72.51,72.52,71.5,71.95,24588270
2017-06-09,72.04,72.08,68.59,70.32,49187396
2017-06-12,69.25,69.94,68.13,69.78,47761743
2017-06-13,70.02,70.82,69.96,70.65,25258614
2017-06-14,70.91,71.1,69.43,70.27,25510685
2017-06-15,69.27,70.21,68.8,69.9,26068709
2017-06-16,69.73,70.03,69.22,70.0,48345085
2017-06-19,70.5,70.94,70.35,70.87,23798268
2017-06-20,70.82,70.87,69.87,69.91,21512231
2017-06-21,70.21,70.62,69.94,70.27,19891051
2017-06-22,70.54,70.59,69.71,70.26,22965738
2017-06-23,70.09,71.25,69.92,71.21,27617291
2017-06-26,71.4,71.71,70.44,70.53,19606974
2017-06-27,70.11,70.18,69.18,69.21,25215128
2017-06-28,69.21,69.84,68.79,69.8,25806200
2017-06-29,69.38,69.49,68.09,68.49,28918715
2017-06-30,68.78,69.38,68.74,68.93,24161068
2017-07-03,69.33,69.6,68.02,68.17,16165538
2017-07-05,68.26,69.44,68.22,69.08,21176272
2017-07-06,68.27,68.78,68.12,68.57,21117572
